"Country or Area","Year(s)","Variant","Value"
"Austria","2022","Medium","8939.617"
"Austria","2021","Medium","8922.082"
"Austria","2020","Medium","8907.777"
"Austria","2019","Medium","8879.94"
"Austria","2018","Medium","8840.513"
"Austria","2017","Medium","8797.496"
"Austria","2016","Medium","8736.487"
"Austria","2015","Medium","8642.421"
"Austria","2014","Medium","8546.066"
"Austria","2013","Medium","8479.539"
"Austria","2012","Medium","8429.637"
"Austria","2011","Medium","8391.2"
"Austria","2010","Medium","8362.829"
"Austria","2009","Medium","8342.935"
"Austria","2008","Medium","8321.131"
"Austria","2007","Medium","8294.722"
"Austria","2006","Medium","8267.763"
"Austria","2005","Medium","8227.034"
"Austria","2004","Medium","8171.217"
"Austria","2003","Medium","8120.104"
"Austria","2002","Medium","8078.992"
"Austria","2001","Medium","8039.626"
"Austria","2000","Medium","8010.428"
"Austria","1999","Medium","7991.377"
"Austria","1998","Medium","7975.862"
"Austria","1997","Medium","7967.093"
"Austria","1996","Medium","7958.041"
"Austria","1995","Medium","7947.296"
"Austria","1994","Medium","7935.365"
"Austria","1993","Medium","7905.278"
"Austria","1992","Medium","7840.816"
"Austria","1991","Medium","7755.638"
"Austria","1990","Medium","7678.729"
"Austria","1989","Medium","7619.391"
"Austria","1988","Medium","7583.761"
"Austria","1987","Medium","7572.38"
"Austria","1986","Medium","7567.248"
"Austria","1985","Medium","7562.114"
"Austria","1984","Medium","7558.563"
"Austria","1983","Medium","7559.11"
"Austria","1982","Medium","7571.289"
"Austria","1981","Medium","7566.316"
"Austria","1980","Medium","7547.561"
"Belgium","2022","Medium","11655.93"
"Belgium","2021","Medium","11611.419"
"Belgium","2020","Medium","11561.717"
"Belgium","2019","Medium","11510.568"
"Belgium","2018","Medium","11448.595"
"Belgium","2017","Medium","11384.489"
"Belgium","2016","Medium","11316.836"
"Belgium","2015","Medium","11248.303"
"Belgium","2014","Medium","11176.723"
"Belgium","2013","Medium","11103.257"
"Belgium","2012","Medium","11031.139"
"Belgium","2011","Medium","10955.743"
"Belgium","2010","Medium","10877.947"
"Belgium","2009","Medium","10801.356"
"Belgium","2008","Medium","10726.716"
"Belgium","2007","Medium","10653.697"
"Belgium","2006","Medium","10582.975"
"Belgium","2005","Medium","10516.978"
"Belgium","2004","Medium","10456.163"
"Belgium","2003","Medium","10402.55"
"Belgium","2002","Medium","10355.568"
"Belgium","2001","Medium","10309.255"
"Belgium","2000","Medium","10264.343"
"Belgium","1999","Medium","10224.22"
"Belgium","1998","Medium","10188.538"
"Belgium","1997","Medium","10154.872"
"Belgium","1996","Medium","10123.229"
"Belgium","1995","Medium","10095.198"
"Belgium","1994","Medium","10069.182"
"Belgium","1993","Medium","10043.738"
"Belgium","1992","Medium","10016.455"
"Belgium","1991","Medium","9987.07"
"Belgium","1990","Medium","9959.56"
"Belgium","1989","Medium","9937.17"
"Belgium","1988","Medium","9917.995"
"Belgium","1987","Medium","9900.221"
"Belgium","1986","Medium","9887.815"
"Belgium","1985","Medium","9880.534"
"Belgium","1984","Medium","9873.6"
"Belgium","1983","Medium","9866.532"
"Belgium","1982","Medium","9857.343"
"Belgium","1981","Medium","9843.592"
"Belgium","1980","Medium","9828.986"
"Bulgaria","2022","Medium","6781.953"
"Bulgaria","2021","Medium","6885.868"
"Bulgaria","2020","Medium","6979.175"
"Bulgaria","2019","Medium","7052.532"
"Bulgaria","2018","Medium","7117.431"
"Bulgaria","2017","Medium","7182.428"
"Bulgaria","2016","Medium","7245.975"
"Bulgaria","2015","Medium","7309.253"
"Bulgaria","2014","Medium","7372.141"
"Bulgaria","2013","Medium","7431.167"
"Bulgaria","2012","Medium","7488.344"
"Bulgaria","2011","Medium","7543.13"
"Bulgaria","2010","Medium","7592.273"
"Bulgaria","2009","Medium","7634.735"
"Bulgaria","2008","Medium","7674.913"
"Bulgaria","2007","Medium","7719.035"
"Bulgaria","2006","Medium","7766.036"
"Bulgaria","2005","Medium","7815.221"
"Bulgaria","2004","Medium","7865.316"
"Bulgaria","2003","Medium","7917.739"
"Bulgaria","2002","Medium","7974.81"
"Bulgaria","2001","Medium","8034.86"
"Bulgaria","2000","Medium","8097.691"
"Bulgaria","1999","Medium","8162.301"
"Bulgaria","1998","Medium","8234.927"
"Bulgaria","1997","Medium","8318.966"
"Bulgaria","1996","Medium","8401.376"
"Bulgaria","1995","Medium","8477.579"
"Bulgaria","1994","Medium","8548.466"
"Bulgaria","1993","Medium","8611.535"
"Bulgaria","1992","Medium","8668.54"
"Bulgaria","1991","Medium","8721.66"
"Bulgaria","1990","Medium","8767.778"
"Bulgaria","1989","Medium","8804.43"
"Bulgaria","1988","Medium","8835.815"
"Bulgaria","1987","Medium","8865.755"
"Bulgaria","1986","Medium","8892.1"
"Bulgaria","1985","Medium","8917.076"
"Bulgaria","1984","Medium","8939.49"
"Bulgaria","1983","Medium","8956.433"
"Bulgaria","1982","Medium","8970.485"
"Bulgaria","1981","Medium","8978.412"
"Bulgaria","1980","Medium","8980.606"
"Croatia","2022","Medium","4030.358"
"Croatia","2021","Medium","4060.135"
"Croatia","2020","Medium","4096.869"
"Croatia","2019","Medium","4129.752"
"Croatia","2018","Medium","4160.485"
"Croatia","2017","Medium","4192.467"
"Croatia","2016","Medium","4223.751"
"Croatia","2015","Medium","4254.815"
"Croatia","2014","Medium","4283.972"
"Croatia","2013","Medium","4308.854"
"Croatia","2012","Medium","4331.595"
"Croatia","2011","Medium","4351.842"
"Croatia","2010","Medium","4368.682"
"Croatia","2009","Medium","4382.13"
"Croatia","2008","Medium","4393.664"
"Croatia","2007","Medium","4405.532"
"Croatia","2006","Medium","4417.56"
"Croatia","2005","Medium","4429.681"
"Croatia","2004","Medium","4443.35"
"Croatia","2003","Medium","4461.139"
"Croatia","2002","Medium","4482.868"
"Croatia","2001","Medium","4506.759"
"Croatia","2000","Medium","4548.434"
"Croatia","1999","Medium","4605.329"
"Croatia","1998","Medium","4659.932"
"Croatia","1997","Medium","4711.373"
"Croatia","1996","Medium","4758.628"
"Croatia","1995","Medium","4807.1"
"Croatia","1994","Medium","4819.426"
"Croatia","1993","Medium","4792.403"
"Croatia","1992","Medium","4798.321"
"Croatia","1991","Medium","4844.522"
"Croatia","1990","Medium","4873.707"
"Croatia","1989","Medium","4874.182"
"Croatia","1988","Medium","4865.828"
"Croatia","1987","Medium","4849.962"
"Croatia","1986","Medium","4828.684"
"Croatia","1985","Medium","4803.325"
"Croatia","1984","Medium","4776.362"
"Croatia","1983","Medium","4751.89"
"Croatia","1982","Medium","4728.725"
"Croatia","1981","Medium","4703.98"
"Croatia","1980","Medium","4680.144"
"Cyprus","2022","Medium","1251.488"
"Cyprus","2021","Medium","1244.188"
"Cyprus","2020","Medium","1237.537"
"Cyprus","2019","Medium","1228.836"
"Cyprus","2018","Medium","1218.831"
"Cyprus","2017","Medium","1208.523"
"Cyprus","2016","Medium","1197.881"
"Cyprus","2015","Medium","1187.28"
"Cyprus","2014","Medium","1176.995"
"Cyprus","2013","Medium","1166.968"
"Cyprus","2012","Medium","1156.556"
"Cyprus","2011","Medium","1145.086"
"Cyprus","2010","Medium","1129.686"
"Cyprus","2009","Medium","1110.974"
"Cyprus","2008","Medium","1092.39"
"Cyprus","2007","Medium","1073.873"
"Cyprus","2006","Medium","1055.438"
"Cyprus","2005","Medium","1037.062"
"Cyprus","2004","Medium","1018.684"
"Cyprus","2003","Medium","1000.35"
"Cyprus","2002","Medium","982.194"
"Cyprus","2001","Medium","964.83"
"Cyprus","2000","Medium","948.237"
"Cyprus","1999","Medium","931.6"
"Cyprus","1998","Medium","914.66"
"Cyprus","1997","Medium","897.471"
"Cyprus","1996","Medium","880.058"
"Cyprus","1995","Medium","862.418"
"Cyprus","1994","Medium","844.444"
"Cyprus","1993","Medium","825.986"
"Cyprus","1992","Medium","810.431"
"Cyprus","1991","Medium","799.061"
"Cyprus","1990","Medium","788.5"
"Cyprus","1989","Medium","777.592"
"Cyprus","1988","Medium","766.412"
"Cyprus","1987","Medium","755.021"
"Cyprus","1986","Medium","743.446"
"Cyprus","1985","Medium","731.664"
"Cyprus","1984","Medium","719.678"
"Cyprus","1983","Medium","707.477"
"Cyprus","1982","Medium","696.227"
"Cyprus","1981","Medium","687.17"
"Cyprus","1980","Medium","679.327"
"Czechia","2022","Medium","10493.986"
"Czechia","2021","Medium","10510.751"
"Czechia","2020","Medium","10530.953"
"Czechia","2019","Medium","10536.871"
"Czechia","2018","Medium","10534.593"
"Czechia","2017","Medium","10531.305"
"Czechia","2016","Medium","10527.591"
"Czechia","2015","Medium","10523.798"
"Czechia","2014","Medium","10517.182"
"Czechia","2013","Medium","10514.552"
"Czechia","2012","Medium","10511.065"
"Czechia","2011","Medium","10496.379"
"Czechia","2010","Medium","10464.749"
"Czechia","2009","Medium","10421.51"
"Czechia","2008","Medium","10378.583"
"Czechia","2007","Medium","10337.829"
"Czechia","2006","Medium","10304.815"
"Czechia","2005","Medium","10280.113"
"Czechia","2004","Medium","10260.999"
"Czechia","2003","Medium","10248.038"
"Czechia","2002","Medium","10238.17"
"Czechia","2001","Medium","10230.276"
"Czechia","2000","Medium","10234.71"
"Czechia","1999","Medium","10249.147"
"Czechia","1998","Medium","10263.833"
"Czechia","1997","Medium","10279.044"
"Czechia","1996","Medium","10295.651"
"Czechia","1995","Medium","10311.702"
"Czechia","1994","Medium","10321.302"
"Czechia","1993","Medium","10318.916"
"Czechia","1992","Medium","10310.956"
"Czechia","1991","Medium","10303.362"
"Czechia","1990","Medium","10301.192"
"Czechia","1989","Medium","10304.496"
"Czechia","1988","Medium","10304.152"
"Czechia","1987","Medium","10302.082"
"Czechia","1986","Medium","10302.68"
"Czechia","1985","Medium","10302.326"
"Czechia","1984","Medium","10299.715"
"Czechia","1983","Medium","10298.164"
"Czechia","1982","Medium","10293.691"
"Czechia","1981","Medium","10283.835"
"Czechia","1980","Medium","10270.06"
"Denmark","2022","Medium","5882.261"
"Denmark","2021","Medium","5854.24"
"Denmark","2020","Medium","5825.641"
"Denmark","2019","Medium","5795.878"
"Denmark","2018","Medium","5766.686"
"Denmark","2017","Medium","5737.284"
"Denmark","2016","Medium","5706.857"
"Denmark","2015","Medium","5677.796"
"Denmark","2014","Medium","5650.653"
"Denmark","2013","Medium","5625.385"
"Denmark","2012","Medium","5600.959"
"Denmark","2011","Medium","5576.016"
"Denmark","2010","Medium","5550.849"
"Denmark","2009","Medium","5526.452"
"Denmark","2008","Medium","5502.751"
"Denmark","2007","Medium","5479.722"
"Denmark","2006","Medium","5457.864"
"Denmark","2005","Medium","5436.313"
"Denmark","2004","Medium","5415.586"
"Denmark","2003","Medium","5396.355"
"Denmark","2002","Medium","5378.697"
"Denmark","2001","Medium","5360.748"
"Denmark","2000","Medium","5340.655"
"Denmark","1999","Medium","5319.854"
"Denmark","1998","Medium","5298.992"
"Denmark","1997","Medium","5277.382"
"Denmark","1996","Medium","5256.007"
"Denmark","1995","Medium","5235.197"
"Denmark","1994","Medium","5213.8"
"Denmark","1993","Medium","5193.775"
"Denmark","1992","Medium","5175.469"
"Denmark","1991","Medium","5158.325"
"Denmark","1990","Medium","5144.623"
"Denmark","1989","Medium","5133.93"
"Denmark","1988","Medium","5126.107"
"Denmark","1987","Medium","5121.51"
"Denmark","1986","Medium","5119.369"
"Denmark","1985","Medium","5119.452"
"Denmark","1984","Medium","5121.314"
"Denmark","1983","Medium","5124.332"
"Denmark","1982","Medium","5126.398"
"Denmark","1981","Medium","5126.981"
"Denmark","1980","Medium","5125.392"
"Estonia","2022","Medium","1326.062"
"Estonia","2021","Medium","1328.701"
"Estonia","2020","Medium","1329.444"
"Estonia","2019","Medium","1327.039"
"Estonia","2018","Medium","1322.148"
"Estonia","2017","Medium","1317.549"
"Estonia","2016","Medium","1315.926"
"Estonia","2015","Medium","1314.657"
"Estonia","2014","Medium","1314.526"
"Estonia","2013","Medium","1317.982"
"Estonia","2012","Medium","1322.682"
"Estonia","2011","Medium","1327.429"
"Estonia","2010","Medium","1331.535"
"Estonia","2009","Medium","1334.552"
"Estonia","2008","Medium","1337.011"
"Estonia","2007","Medium","1340.574"
"Estonia","2006","Medium","1346.709"
"Estonia","2005","Medium","1354.662"
"Estonia","2004","Medium","1362.48"
"Estonia","2003","Medium","1370.66"
"Estonia","2002","Medium","1379.24"
"Estonia","2001","Medium","1387.995"
"Estonia","2000","Medium","1396.877"
"Estonia","1999","Medium","1403.498"
"Estonia","1998","Medium","1411.147"
"Estonia","1997","Medium","1421.49"
"Estonia","1996","Medium","1434.67"
"Estonia","1995","Medium","1452.775"
"Estonia","1994","Medium","1475.727"
"Estonia","1993","Medium","1504.436"
"Estonia","1992","Medium","1540.381"
"Estonia","1991","Medium","1565.627"
"Estonia","1990","Medium","1570.674"
"Estonia","1989","Medium","1568.047"
"Estonia","1988","Medium","1559.586"
"Estonia","1987","Medium","1547.706"
"Estonia","1986","Medium","1536.023"
"Estonia","1985","Medium","1525.782"
"Estonia","1984","Medium","1516.124"
"Estonia","1983","Medium","1505.714"
"Estonia","1982","Medium","1495.374"
"Estonia","1981","Medium","1485.768"
"Estonia","1980","Medium","1476.983"
"Finland","2022","Medium","5540.745"
"Finland","2021","Medium","5535.992"
"Finland","2020","Medium","5529.468"
"Finland","2019","Medium","5521.537"
"Finland","2018","Medium","5515.461"
"Finland","2017","Medium","5508.14"
"Finland","2016","Medium","5495.219"
"Finland","2015","Medium","5479.461"
"Finland","2014","Medium","5461.44"
"Finland","2013","Medium","5438.872"
"Finland","2012","Medium","5413.859"
"Finland","2011","Medium","5388.166"
"Finland","2010","Medium","5363.271"
"Finland","2009","Medium","5338.815"
"Finland","2008","Medium","5313.35"
"Finland","2007","Medium","5288.689"
"Finland","2006","Medium","5266.251"
"Finland","2005","Medium","5246.071"
"Finland","2004","Medium","5228.141"
"Finland","2003","Medium","5212.989"
"Finland","2002","Medium","5200.596"
"Finland","2001","Medium","5188.002"
"Finland","2000","Medium","5176.209"
"Finland","1999","Medium","5165.491"
"Finland","1998","Medium","5153.544"
"Finland","1997","Medium","5139.943"
"Finland","1996","Medium","5124.718"
"Finland","1995","Medium","5107.943"
